id,type,profit,energy,carbon,failedP,unsatprops,inferences,time,numIntents,size,rate
1,multiDips,10.02201355117483,0.4145012199852198,1.03219343507326,0,"[[], [], [('latency', ((190,), (200,)))], [], []]",371533,0.058512,5,10,0.1
1,multiDips,7.916045040717371,0.4053658570644587,0.7266329099500736,1,"[[], [], [], [], []]",407523,0.062473,5,10,0.1
1,multiDips,7.8922509623113575,0.3818211976492485,0.7255186662796868,1,"[[], [], [], [], []]",221862,0.040874,5,10,0.1
1,multiDips,7.886449442341527,0.38223464883306246,0.7266914280647275,1,"[[], [], [], [], []]",211020,0.039557,5,10,0.1
1,multiDips,7.887143859829279,0.40808712595680985,0.7310151544725951,1,"[[], [], [], [], []]",232403,0.041944,5,10,0.1
1,multiDips,7.887143859829279,0.40808712595680985,0.7310151544725951,1,"[[], [], [], [], []]",232403,0.042072,5,10,0.1
1,multiDips,7.891931552606715,0.41248103759202626,0.7324818735769462,1,"[[], [], [], [], []]",232240,0.041794,5,10,0.1
1,multiDips,7.891576136945292,0.41170209484016657,0.7271585736683618,1,"[[], [], [], [], []]",354472,0.056265,5,10,0.1
1,multiDips,7.891576136945292,0.41170209484016657,0.7271585736683618,1,"[[], [], [], [], []]",354472,0.056017,5,10,0.1
1,multiDips,7.891576136945292,0.41170209484016657,0.7271585736683618,1,"[[], [], [], [], []]",354472,0.056149,5,10,0.1
1,multiDips,7.890284512826865,0.40734443699258555,0.7241880817649923,1,"[[], [], [], [], []]",304637,0.050417,5,10,0.1
1,multiDips,8.580077978266345,0.44569058798476224,0.8638119863324609,1,"[[], [], [('latency', ((190,), (193.7467,)))], [], []]",119921,0.028162,5,10,0.1
1,multiDips,8.575898833646797,0.46975692291042226,0.8731476509786563,1,"[[], [], [('latency', ((190,), (204.2758,)))], [], []]",119272,0.028033,5,10,0.1
1,multiDips,8.575898833646797,0.46975692291042226,0.8731476509786563,1,"[[], [], [('latency', ((190,), (204.2758,)))], [], []]",119272,0.028364,5,10,0.1
1,multiDips,8.586651406925355,0.489067906928188,0.8609882135334425,1,"[[], [], [('latency', ((190,), (202.41219999999998,)))], [], []]",115480,0.027636,5,10,0.1
1,multiDips,8.576010121502208,0.439302946879853,0.862918921759383,1,"[[], [], [('latency', ((190,), (193.7467,)))], [], []]",111720,0.027208,5,10,0.1
1,multiDips,9.948543191241967,0.24211915679092,1.054405403385259,0,"[[], [], [('latency', ((190,), (211.7144,)))], [], []]",176350,0.035415,5,10,0.1
1,multiDips,9.945085168361697,0.22192468209372918,1.054274497906608,0,"[[], [], [('latency', ((190,), (211.7144,)))], [], []]",170829,0.034479,5,10,0.1
1,multiDips,9.945085168361697,0.22192468209372918,1.054274497906608,0,"[[], [], [('latency', ((190,), (211.7144,)))], [], []]",170829,0.034845,5,10,0.1
1,multiDips,9.940518664262926,0.19425729688115492,1.0540117077205584,0,"[[], [], [('latency', ((190,), (211.7144,)))], [], []]",153476,0.032981,5,10,0.1
1,multiDips,9.940518664262926,0.19425729688115492,1.0540117077205584,0,"[[], [], [('latency', ((190,), (211.7144,)))], [], []]",154126,0.032633,5,10,0.1
1,multiDips,9.94073769085344,0.20321873124560938,1.0554303125508182,0,"[[], [], [('latency', ((190,), (211.7144,)))], [], []]",157146,0.032889,5,10,0.1
1,multiDips,6.932392654253105,0.36682918584823543,0.7832050119169061,2,"[[], [], [('latency', ((190,), (200.0946,)))], [], []]",113430,0.027368,5,10,0.1
1,multiDips,6.443621654368142,0.12979830532266273,0.5689248308339823,2,"[[], [], [], [], []]",113274,0.027166,5,10,0.1
1,multiDips,6.443621654368142,0.12979830532266273,0.5689248308339823,2,"[[], [], [], [], []]",113274,0.027149,5,10,0.1
1,multiDips,6.443621654368142,0.12979830532266273,0.5689248308339823,2,"[[], [], [], [], []]",113950,0.027137,5,10,0.1
1,multiDips,6.443621654368142,0.12979830532266273,0.5689248308339823,2,"[[], [], [], [], []]",113950,0.027156,5,10,0.1
1,multiDips,6.443621654368142,0.12979830532266273,0.5689248308339823,2,"[[], [], [], [], []]",113950,0.027135,5,10,0.1
