id,type,profit,energy,carbon,unsatprops,inferences,time,size,rate
1,multiDips,10.02201355117483,0.4145012199852198,1.03219343507326,"[[], [], [('latency', ((190,), (200,)))], [], []]",371533,0.058361,10,0.1
1,multiDips,10.03159202317349,0.3372410812170707,1.0303580421638363,"[[], [], [], [], []]",340023,0.0547,10,0.1
1,multiDips,10.023420222076192,0.3104355691768669,1.0271406228111994,"[[], [], [('latency', ((190,), (203,)))], [], []]",289311,0.04849,10,0.1
1,multiDips,10.01366482759863,0.3088435717148643,1.0243719564441063,"[[], [], [('latency', ((190,), (203,)))], [], []]",334527,0.053614,10,0.1
1,multiDips,10.01366482759863,0.07519916110760314,1.0243719564441063,"[[], [], [('latency', ((190,), (203,)))], [], []]",290275,0.048609,10,0.1
1,multiDips,8.379474499897057,0.044334397989778694,0.941549706172857,"[[], [], [('latency', ((190,), (213.6945,)))], [], []]",255959,0.04433,10,0.1
1,multiDips,6.439585329840856,0.02897731584650881,0.5718418321566947,"[[], [], [], [], []]",740523,0.103555,10,0.1
1,multiDips,6.444253722146736,0.07805618290732098,0.5817125874771025,"[[], [], [], [], []]",819388,0.113756,10,0.1
1,multiDips,4.1144370425657035,0.035485132494276116,0.2960177492110843,"[[], [], [], [], []]",565500,0.081044,10,0.1
1,multiDips,4.11996233182942,0.03733813290461581,0.28961801917492763,"[[], [], [], [], []]",408093,0.062694,10,0.1
1,multiDips,4.109406936763554,0.008563514669388202,0.29054481911841484,"[[], [], [], [], []]",417824,0.064006,10,0.1
1,multiDips,4.107350894403665,0.00882513971624235,0.2963746407934953,"[[], [], [], [], []]",339544,0.054863,10,0.1
1,multiDips,1.6373615298060824,0.04644947463926426,0.08149403202614969,"[[], [], [], [], []]",139707,0.031252,10,0.1
1,multiDips,1.6373615298060824,0.04644947463926426,0.08149403202614969,"[[], [], [], [], []]",139729,0.030779,10,0.1
1,multiDips,1.6373615298060824,0.04644947463926426,0.08149403202614969,"[[], [], [], [], []]",151314,0.032063,10,0.1
1,multiDips,1.6373615298060824,0.04644947463926426,0.08149403202614969,"[[], [], [], [], []]",150863,0.0319,10,0.1
1,multiDips,1.6373615298060824,0.04644947463926426,0.08149403202614969,"[[], [], [], [], []]",150863,0.031799,10,0.1
1,multiDips,1.6389780204790079,0.05256391582055775,0.08428896937560024,"[[], [], [], [], []]",150464,0.031832,10,0.1
1,multiDips,1.6389780204790079,0.053222169807774944,0.08428896937560024,"[[], [], [], [], []]",127493,0.028969,10,0.1
1,multiDips,1.6389780204790079,0.053222169807774944,0.08428896937560024,"[[], [], [], [], []]",150833,0.031771,10,0.1
1,multiDips,1.6389780204790079,0.053222169807774944,0.08428896937560024,"[[], [], [], [], []]",150833,0.031623,10,0.1
1,multiDips,1.6389780204790079,0.053222169807774944,0.08428896937560024,"[[], [], [], [], []]",140877,0.030625,10,0.1
1,multiDips,1.6389780204790079,0.053222169807774944,0.08428896937560024,"[[], [], [], [], []]",140850,0.030867,10,0.1
1,multiDips,1.6373615298060824,0.04706385813998354,0.08149403202614969,"[[], [], [], [], []]",138623,0.030231,10,0.1
1,multiDips,4.765168279315823,0.12806825425677804,0.5151605526323143,"[[], [], [], [], []]",260092,0.046152,10,0.1
1,multiDips,4.765168279315823,0.12806825425677804,0.5151605526323143,"[[], [], [], [], []]",260092,0.046041,10,0.1
1,multiDips,4.758889851447523,0.12217948222013258,0.5161661766399852,"[[], [], [], [], []]",169338,0.034681,10,0.1
1,multiDips,2.327265380716556,0.05654667781423324,0.27885015321794254,"[[], [], [], [], []]",290267,0.050231,10,0.1
1,multiDips,3.9840426143861363,0.07703565511289699,0.3512200856216724,"[[], [], [], [], []]",311089,0.05254,10,0.1
1,multiDips,3.9840426143861363,0.07703565511289699,0.3512200856216724,"[[], [], [], [], []]",311305,0.052679,10,0.1
1,multiDips,3.9840426143861363,0.07703565511289699,0.3512200856216724,"[[], [], [], [], []]",311305,0.052511,10,0.1
1,multiDips,3.9840426143861363,0.07703565511289699,0.3512200856216724,"[[], [], [], [], []]",311305,0.052782,10,0.1
1,multiDips,3.9840426143861363,0.07703565511289699,0.3512200856216724,"[[], [], [], [], []]",311305,0.052495,10,0.1
1,multiDips,2.4202294531344246,0.026647975369330758,0.23486184664473425,"[[], [], [], [], []]",121252,0.028192,10,0.1
1,multiDips,2.425253990104612,0.045244921997998226,0.24052353780704255,"[[], [], [], [], []]",140304,0.030504,10,0.1
1,multiDips,2.425253990104612,0.045244921997998226,0.24052353780704255,"[[], [], [], [], []]",149933,0.031645,10,0.1
1,multiDips,2.425253990104612,0.045244921997998226,0.24052353780704255,"[[], [], [], [], []]",147504,0.031271,10,0.1
1,multiDips,2.425253990104612,0.045244921997998226,0.24052353780704255,"[[], [], [], [], []]",140231,0.030439,10,0.1
1,multiDips,2.4273100324645007,0.028732633691907015,0.23469371613196216,"[[], [], [], [], []]",142785,0.030802,10,0.1
1,multiDips,2.4273100324645007,0.028732633691907015,0.23469371613196216,"[[], [], [], [], []]",142785,0.030838,10,0.1
1,multiDips,2.4273100324645007,0.028732633691907015,0.23469371613196216,"[[], [], [], [], []]",142778,0.031167,10,0.1
1,multiDips,2.4273100324645007,0.028732633691907015,0.23469371613196216,"[[], [], [], [], []]",142778,0.0308,10,0.1
1,multiDips,2.4189814408575203,0.04082683763307554,0.2413837620594577,"[[], [], [], [], []]",124519,0.028549,10,0.1
1,multiDips,2.427527977682178,0.022908961561350468,0.23193905480234114,"[[], [], [], [], []]",182520,0.035428,10,0.1
1,multiDips,8.348791866909075,0.18207209425280363,0.9532379942197295,"[[], [], [], [], []]",122249,0.028537,10,0.1
